sec,x1[m],v1[m/s],a1[m/s2],Force1[kgf],Force2[kgf],Fmonitor[V],Vmonitor[V],F_sim,MV1[V],x1tg[m],F1tg[kgf],v1tg[m/s],GLx1[m],GLy1[m],GHy1[m],GHy1[m],GHidariX[m],GhidariY[m],G_ab1[m],wii1-1[V],wii1-2[V],wii1-3[V],wii1-4[V],wii1-5[V],wii1-6[V],wii1-7[V],wii1-8[V],hidarite1-1[V],Hidarite1-2[V],Hidarite1-3[V],Hidarite1-4[V],GLx2[m],GLy2[m],GHy2[m],GHy2[m],GHidari2X[m],Ghidari2Y[m],G_ab2[m],wii2-1[V],wii2-2[V],wii2-3[V],wii2-4[V],wii2-5[V],wii2-6[V],wii2-7[V],wii2-8[V],hidarite2-1[V],Hidarite2-2[V],Hidarite2-3[V],Hidarite2-4[V],F1COP[kgf],x1COP[m],remoteEncoder[m],remoteForce[kgf],remoteGab[m],remoteFmoni[V]
0.221647,0,,,0.172729,0.083313,,,,,,,,,,,,,,64.10475029,,,,,,,,,,,,,,,,,,,-2.910371588,,,,,,,,,,,,,,,,,,
0.224224,0,,,0.176392,0.085754,,,,,,,,,,,,,,64.09978294,,,,,,,,,,,,,,,,,,,-2.966899011,,,,,,,,,,,,,,,,,,
0.226693,0,,,0.175171,0.086365,,,,,,,,,,,,,,64.20195338,,,,,,,,,,,,,,,,,,,-3.009889569,,,,,,,,,,,,,,,,,,
0.230957,0,,,0.178528,0.089722,,,,,,,,,,,,,,64.39984102,,,,,,,,,,,,,,,,,,,-3.048964347,,,,,,,,,,,,,,,,,,
0.233479,0,,,0.180359,0.090027,,,,,,,,,,,,,,64.63211359,,,,,,,,,,,,,,,,,,,-3.091190751,,,,,,,,,,,,,,,,,,
0.235972,0,,,0.181885,0.092163,,,,,,,,,,,,,,64.83170634,,,,,,,,,,,,,,,,,,,-3.139628245,,,,,,,,,,,,,,,,,,
0.238431,0,,,0.177612,0.093994,,,,,,,,,,,,,,64.97068431,,,,,,,,,,,,,,,,,,,-3.180797072,,,,,,,,,,,,,,,,,,
0.240914,0,,,0.185852,0.094299,,,,,,,,,,,,,,65.05297933,,,,,,,,,,,,,,,,,,,-3.18438343,,,,,,,,,,,,,,,,,,
0.243377,0,,,0.189514,0.092773,,,,,,,,,,,,,,65.10418277,,,,,,,,,,,,,,,,,,,-3.160730556,,,,,,,,,,,,,,,,,,
0.245868,0,,,0.19165,0.092468,,,,,,,,,,,,,,65.15060263,,,,,,,,,,,,,,,,,,,-3.156634632,,,,,,,,,,,,,,,,,,
0.248353,0,,,0.195007,0.094604,,,,,,,,,,,,,,65.1950464,,,,,,,,,,,,,,,,,,,-3.178154753,,,,,,,,,,,,,,,,,,
